"Rk,Player,Age,Team,Pos,GP,G,A,PTS,-9999"
"734,Ben Hutton,31,VEG,D,11,0,2,2,huttobe01"
"735,Grant Hutton,29,NYI,D,13,0,2,2,huttogr01"
"736,Connor Ingram,27,UTA,G,22,0,2,2,ingraco01"
"737,Tyler Johnson,34,BOS,C,9,0,2,2,johnsty01"
"738,Max Jones,26,2TM,LW,26,1,1,2,jonesma03"
"738,Max Jones,26,BOS,LW,7,0,0,0,jonesma03"
"738,Max Jones,26,EDM,LW,19,1,1,2,jonesma03"
"739,Oliver Kapanen,21,MTL,C,18,0,2,2,kapanol01"
"740,Spencer Knight,23,2TM,G,38,0,2,2,knighsp01"
"740,Spencer Knight,23,FLA,G,23,0,2,2,knighsp01"
"740,Spencer Knight,23,CHI,G,15,0,0,0,knighsp01"
"741,Kevin Korchinski,20,CHI,D,16,1,1,2,korchke01"
"742,John Ludvig,24,COL,D,8,0,2,2,ludvijo01"
"743,Matt Martin,35,NYI,LW,32,0,2,2,martima02"
"744,Dylan McIlrath,32,WSH,D,17,0,2,2,mcilrdy01"
"745,Keaton Middleton,26,COL,D,41,0,2,2,middlke01"
"746,Liam O'Brien,30,UTA,C,28,0,2,2,obrieli01"
"747,Brennan Othmann,22,NYR,LW,22,0,2,2,othmabr01"
"748,Noah Philp,26,EDM,F,15,0,2,2,philpno01"
"749,Ryan Reaves,38,TOR,RW,35,0,2,2,reavery01"
"750,Mike Reilly,31,NYI,D,18,0,2,2,reillmi01"
"751,Cole Reinhardt,24,OTT,LW,17,1,1,2,reinhco01"
"752,Justin Robidas,21,CAR,C,2,1,1,2,robidju01"
"753,Joshua Roy,21,MTL,RW,12,2,0,2,royjo01"
"754,Michael Sgarbossa,32,WSH,C,3,1,1,2,sgarbmi01"
"755,Ty Smith,24,CAR,D,8,1,1,2,smithty01"
"756,Alex Steeves,25,TOR,F,7,1,1,2,steeval02"
"757,Linus Ullmark,31,OTT,G,44,0,2,2,ullmali01"
"758,Andrei Vasilevskiy,30,TBL,G,63,0,2,2,vasilan02"
"759,Wyatt Aamodt,27,COL,D,2,1,0,1,aamodwy01"
"760,Frederik Andersen,35,CAR,G,22,0,1,1,anderfr01"
"761,Joey Anderson,26,CHI,RW,18,0,1,1,anderjo08"
"762,Jaret Anderson-Dolan,25,WPG,C,7,0,1,1,anderja01"
"763,Yaroslav Askarov,22,SJS,G,13,0,1,1,askarya01"
"764,Andreas Athanasiou,30,CHI,C,8,1,0,1,athanan01"
"765,Arshdeep Bains,24,VAN,F,13,1,0,1,bainsar01"
"766,Owen Beck,20,MTL,C,12,0,1,1,beckow01"
"767,Emil Bemström,25,PIT,C,14,0,1,1,bemstem01"
"768,Clark Bishop,28,CGY,C,6,1,0,1,bishocl01"
"769,Mackenzie Blackwood,28,2TM,G,56,0,1,1,blackma01"
"769,Mackenzie Blackwood,28,SJS,G,19,0,0,0,blackma01"
"769,Mackenzie Blackwood,28,COL,G,37,0,1,1,blackma01"
"770,Matěj Blümel,24,DAL,RW,7,1,0,1,blumema01"
"771,Sergei Bobrovsky,36,FLA,G,54,0,1,1,bobrose01"
"772,Skyler Brind'Amour,25,CAR,C,2,1,0,1,brindsk01"
"773,Josh Brown,31,EDM,D,10,0,1,1,brownjo01"
"774,Patrick Brown,32,BOS,C,15,0,1,1,brownpa02"
"775,Callahan Burke,27,VEG,C,7,1,0,1,burkeca01"
"776,Drake Caggiula,30,EDM,LW,7,0,1,1,caggidr01"
"777,Michael Callahan,25,BOS,D,17,1,0,1,callami02"
"778,Ethan Cardwell,22,SJS,RW,6,1,0,1,cardwet01"
"779,Declan Carlile,24,TBL,D,3,1,0,1,carlide01"
"780,Lucas Condotta,27,MTL,F,7,1,0,1,condolu01"
"781,Angus Crookshank,25,OTT,LW,8,0,1,1,crookan01"
"782,Casey DeSmith,33,DAL,G,27,0,1,1,desmica01"
"783,Dylan Duke,21,TBL,LW,2,1,0,1,dukedy01"
"784,John Farinacci,23,BOS,C,1,1,0,1,farinjo01"
"785,Cale Fleury,26,SEA,D,14,0,1,1,fleurca01"
"786,Nolan Foote,24,NJD,LW,7,0,1,1,footeno01"
"787,Parker Ford,24,WPG,F,3,1,0,1,fordpa01"
"788,Brendan Gaunce,30,MIN,C,12,0,1,1,gauncbr01"
"789,Alexandar Georgiev,28,2TM,G,49,0,1,1,georgal01"
"789,Alexandar Georgiev,28,COL,G,18,0,1,1,georgal01"
"789,Alexandar Georgiev,28,SJS,G,31,0,0,0,georgal01"
"790,John Gibson,31,ANA,G,29,0,1,1,gibsojo02"
"791,Patrick Giles,25,2TM,F,17,1,0,1,gilespa01"
"791,Patrick Giles,25,FLA,F,9,0,0,0,gilespa01"
"791,Patrick Giles,25,SJS,F,8,1,0,1,gilespa01"
"792,Helge Grans,22,PHI,D,6,0,1,1,granshe01"
"793,Kevin Gravel,32,NSH,D,6,0,1,1,graveke01"
"794,Daniil Gushchin,22,SJS,LW,12,0,1,1,gushcda01"
"795,Mike Hardman,25,NJD,RW,2,0,1,1,hardmmi01"
"796,Ville Heinola,23,WPG,D,18,0,1,1,heinovi01"
"797,Connor Hellebuyck,31,WPG,G,63,0,1,1,helleco01"
"798,Joel Hofer,24,STL,G,31,0,1,1,hoferjo01"
"799,Justin Hryckowian,23,DAL,F,5,0,1,1,hryckju01"
"800,Arttu Hyry,23,DAL,F,5,0,1,1,hyryar01"
"801,Bokondji Imama,28,PIT,LW,16,1,0,1,imamabo01"
"802,Tristan Jarry,29,PIT,G,36,0,1,1,jarrytr01"
"803,Matt Kiersted,26,FLA,D,2,0,1,1,kiersma01"
"804,Joona Koppanen,26,PIT,LW,11,1,0,1,koppajo01"
"805,Darcy Kuemper,34,LAK,G,50,0,1,1,kuempda01"
"806,Joseph LaBate,31,CBJ,C,6,0,1,1,labatjo01"
"807,Tanner Laczynski,27,VEG,C,8,1,0,1,laczyta01"
"808,William Lagesson,28,DET,D,7,0,1,1,lageswi01"
"809,Brad Lambert,21,WPG,C,5,0,1,1,lambebr01"
"810,Kevin Lankinen,29,VAN,G,51,0,1,1,lankike01"
"811,Jeremy Lauzon,27,NSH,D,28,0,1,1,lauzoje01"
"812,Ryan Leonard,20,WSH,RW,9,1,0,1,leonary01"
"813,Ukko-Pekka Luukkonen,25,BUF,G,55,0,1,1,luukkuk01"
"814,Jeff Malott,28,LAK,F,12,0,1,1,malotje01"
"815,Georgii Merkulov,24,BOS,F,6,0,1,1,merkuge01"
"816,Dakota Mermis,31,2TM,D,4,0,1,1,mermida01"
"816,Dakota Mermis,31,UTA,D,1,0,0,0,mermida01"
"816,Dakota Mermis,31,TOR,D,3,0,1,1,mermida01"
"817,Elvis Merzļikins,30,CBJ,G,53,0,1,1,merzlel01"
"818,Ian Mitchell,26,BOS,D,15,0,1,1,mitchia01"
"819,Sam Montembeault,28,MTL,G,62,0,1,1,montesa01"
"820,Ian Moore,23,ANA,D,3,0,1,1,mooreia01"
"821,Sam Morton,,CGY,F,1,1,0,1,mortosa01"
"822,Bradly Nadeau,19,CAR,LW,2,0,1,1,nadeabr01"
"823,Jake Oettinger,26,DAL,G,58,0,1,1,oettija01"
"824,Ville Ottavainen,22,SEA,D,1,0,1,1,ottavvi01"
"825,Zayne Parekh,18,CGY,D,1,1,0,1,parekza01"
"826,Isaak Phillips,23,CHI,D,3,1,0,1,phillis01"
"827,Calvin Pickard,32,EDM,G,36,0,1,1,pickaca01"
"828,Andrew Poturalski,31,SJS,C,3,0,1,1,poturan01"
"829,Samuel Poulin,23,PIT,RW,7,0,1,1,poulisa01"
"830,Jonathan Quick,39,NYR,G,24,0,1,1,quickjo01"
"831,Calum Ritchie,20,COL,C,7,1,0,1,ritchca01"
"832,Isak Rosen,21,BUF,RW,8,0,1,1,rosenis01"
"833,Chad Ruhwedel,34,NYR,D,5,0,1,1,ruhwech01"
"834,Ilya Samsonov,27,VEG,G,29,0,1,1,samsoil01"
"835,Juuse Saros,29,NSH,G,58,0,1,1,sarosju01"
"836,Matthew Savoie,21,EDM,C,4,0,1,1,savoima01"
"837,Dominik Shine,31,DET,F,9,0,1,1,shinedo01"
"838,Ilya Solovyov,24,CGY,D,5,0,1,1,solovil01"
"839,Justin Sourdif,22,FLA,RW,1,1,0,1,sourdju01"
"840,Jack St. Ivany,25,PIT,D,19,0,1,1,stivajo01"
"841,Anthony Stolarz,31,TOR,G,34,0,1,1,stolaan01"
"842,Daniil Tarasov,25,CBJ,G,20,0,1,1,tarasda02"
"843,Logan Thompson,27,WSH,G,43,0,1,1,thomplo01"
"844,T.J. Tynan,32,COL,C,9,0,1,1,tynant.01"
"845,Vítek Vaněček,29,2TM,G,25,0,1,1,vanecvi01"
"845,Vítek Vaněček,29,SJS,G,18,0,1,1,vanecvi01"
"845,Vítek Vaněček,29,FLA,G,7,0,0,0,vanecvi01"
"846,Karel Vejmelka,28,UTA,G,58,0,1,1,vejmeka01"
"847,Daniel Vladař,27,CGY,G,30,0,1,1,vladada01"
"848,Chris Wagner,33,COL,C,28,1,0,1,wagnech01"
"849,Taylor Ward,26,LAK,F,1,1,0,1,wardta01"
"850,Ozzy Wiesblatt,22,NSH,RW,5,0,1,1,wiesboz01"
"851,Ryan Winterton,21,SEA,C,12,0,1,1,wintery01"
"852,Matthew Wood,19,NSH,RW,6,0,1,1,woodma01"
"853,Jack Ahcan,27,COL,D,2,0,0,0,ahcanja01"
"854,Alexander Alexeyev,25,WSH,D,8,0,0,0,alexeal01"
"855,Jake Allen,34,NJD,G,31,0,0,0,allenja01"
"856,Justus Annunen,24,2TM,G,34,0,0,0,annunju01"
"856,Justus Annunen,24,COL,G,11,0,0,0,annunju01"
"856,Justus Annunen,24,NSH,G,23,0,0,0,annunju01"
"857,Rasmus Asplund,27,FLA,F,6,0,0,0,asplura01"
"858,Alex Barré-Boulet,27,MTL,F,2,0,0,0,barreal01"
"859,Matt Benning,30,SJS,D,7,0,0,0,bennima01"
"860,Jordan Binnington,31,STL,G,56,0,0,0,binnijo01"
"861,Tobias Björnfot,23,FLA,D,14,0,0,0,bjornto01"
"862,Joel Blomqvist,23,PIT,G,15,0,0,0,blomqjo01"
"863,Samuel Bolduc,24,NYI,D,1,0,0,0,boldusa01"
"864,Thomas Bordeleau,23,SJS,C,1,0,0,0,bordeth01"
"865,Shane Bowers,25,NJD,C,4,0,0,0,bowersh01"
"866,Travis Boyd,31,MIN,C,3,0,0,0,boydtr01"
"867,Chase Bradley,23,COL,LW,2,0,0,0,bradlch01"
"868,Guillaume Brisebois,27,VAN,D,3,0,0,0,brisegu01"
"869,Brendan Brisson,23,VEG,C,9,0,0,0,brissbr01"
"870,Frederic Brunet,21,BOS,D,1,0,0,0,brunefr01"
"871,Hunter Brzustewicz,20,CGY,D,1,0,0,0,brzushu01"
"872,Kyle Capobianco,27,DAL,D,1,0,0,0,capobky01"
"873,Nathan Clurman,26,PIT,D,1,0,0,0,clurmna01"
"874,Dylan Coghlan,26,WPG,D,6,0,0,0,coghldy01"
"875,Drew Commesso,22,CHI,G,2,0,0,0,commedr01"
"876,Eric Comrie,29,WPG,G,20,0,0,0,comrier01"
"877,Pheonix Copley,33,LAK,G,1,0,0,0,copleph01"
"878,Sebastian Cossa,22,DET,G,1,0,0,0,cossase01"
"879,Cameron Crotty,25,MIN,D,1,0,0,0,crottca01"
"880,Maxwell Crozier,24,TBL,D,5,0,0,0,crozima01"
"881,Nico Daws,24,NJD,G,6,0,0,0,dawsni01"
"882,Thatcher Demko,29,VAN,G,23,0,0,0,demkoth01"
"883,Grigori Denisenko,24,VEG,LW,1,0,0,0,denisgr01"
"884,Travis Dermott,28,2TM,D,19,0,0,0,dermotr01"
"884,Travis Dermott,28,EDM,D,10,0,0,0,dermotr01"
"884,Travis Dermott,28,MIN,D,9,0,0,0,dermotr01"
"885,Cam Dineen,26,EDM,D,4,0,0,0,dineeca01"
"886,Jakub Dobes,23,MTL,G,16,0,0,0,dobesja01"
"887,Louis Domingue,32,NYR,G,1,0,0,0,dominlo01"
"888,Karsen Dorwart,22,PHI,F,5,0,0,0,dorwaka01"
"889,Lukáš Dostál,24,ANA,G,54,0,0,0,dostalu01"
"890,Joshua Dunne,26,BUF,C,2,0,0,0,dunnejo01"
"891,Riley Duran,23,BOS,C,2,0,0,0,duranri01"
"892,Dalibor Dvorsky,19,STL,C,2,0,0,0,dvorsda01"
"893,Samuel Ersson,25,PHI,G,47,0,0,0,erssosa01"
"894,Ivan Fedotov,28,PHI,G,26,0,0,0,fedotiv01"
"895,Tye Felhaber,26,COL,F,5,0,0,0,felhaty01"
"896,Domenick Fensore,23,CAR,D,2,0,0,0,fensodo01"
"897,Jack Finley,22,TBL,C,1,0,0,0,finleja01"
"898,Marc-André Fleury,40,MIN,G,26,0,0,0,fleurma01"
"899,Anton Forsberg,32,OTT,G,30,0,0,0,forsban01"
"900,Liam Foudy,24,NYI,C,2,0,0,0,foudyli01"
"901,Mark Friedman,29,VAN,D,5,0,0,0,friedma01"
"902,Jacob Gaucher,23,PHI,F,4,0,0,0,gauchja01"
"903,Julien Gauthier,27,NYI,RW,1,0,0,0,gauthju01"
"904,Adam Ginning,25,PHI,D,1,0,0,0,ginniad01"
"905,Jet Greaves,23,CBJ,G,11,0,0,0,greavje01"
"906,Nikita Grebenkin,21,TOR,RW,7,0,0,0,grebeni01"
"907,Ryan Greene,21,CHI,C,2,0,0,0,greenry01"
"908,Philipp Grubauer,33,SEA,G,26,0,0,0,grubaph01"
"909,Robert Hägg,29,VEG,D,2,0,0,0,haggro01"
"910,Jani Hakanpää,32,TOR,D,2,0,0,0,hakanja01"
"911,Brian Halonen,26,NJD,F,2,0,0,0,halonbr01"
"912,Brandon Halverson,28,TBL,G,1,0,0,0,halvebr01"
"913,Rafaël Harvey-Pinard,26,MTL,LW,1,0,0,0,harvera01"
"914,Dennis Hildeby,23,TOR,G,6,0,0,0,hildede01"
"915,Adin Hill,28,VEG,G,50,0,0,0,hillad01"
"916,Hayden Hodgson,28,OTT,RW,2,0,0,0,hodgsha01"
"917,Marcus Högberg,30,NYI,G,15,0,0,0,hogbema01"
"918,Samuel Honzek,20,CGY,LW,5,0,0,0,honzesa01"
"919,Daemon Hunt,22,MIN,D,1,0,0,0,huntda01"
"920,Ville Husso,29,2TM,G,13,0,0,0,hussovi01"
"920,Ville Husso,29,DET,G,9,0,0,0,hussovi01"
"920,Ville Husso,29,ANA,G,4,0,0,0,hussovi01"
"921,Quinn Hutson,23,EDM,F,2,0,0,0,hutsoqu01"
"922,Jere Innala,26,COL,F,17,0,0,0,innalje01"
"923,Jan Jeník,24,OTT,RW,2,0,0,0,jenikja01"
"924,Jonas Johansson,29,TBL,G,19,0,0,0,johanjo03"
"925,Reese Johnson,26,MIN,F,3,0,0,0,johnsre01"
"926,Ryan Johnson,23,BUF,D,3,0,0,0,johnsry03"
"927,Ben Jones,25,MIN,F,26,0,0,0,jonesbe01"
"928,Caleb Jones,27,LAK,D,6,0,0,0,jonesca01"
"929,Noah Juulsen,27,VAN,D,35,0,0,0,juulsno01"
"930,Kaapo Kähkönen,28,COL,G,1,0,0,0,kahkoka01"
"931,Devin Kaplan,21,PHI,RW,1,0,0,0,kaplade01"
"932,Joakim Kemell,20,NSH,RW,2,0,0,0,kemeljo01"
"933,Niklas Kokko,20,SEA,G,1,0,0,0,kokkoni01"
"934,Aleksei Kolosov,23,PHI,G,17,0,0,0,kolosal01"
"935,Joonas Korpisalo,30,BOS,G,27,0,0,0,korpijo01"
"936,Kirill Kudryavtsev,20,VAN,D,2,0,0,0,kudryki01"
"937,Raphael Lavoie,24,VEG,C,9,0,0,0,lavoira01"
"938,Nathan Legare,24,NJD,RW,3,0,0,0,legarna01"
"939,Tristan Lennox,22,NYI,G,1,0,0,0,lennotr01"
"940,Devon Levi,23,BUF,G,9,0,0,0,levide01"
"941,Charlie Lindgren,31,WSH,G,39,0,0,0,lindgch01"
"942,Jake Lucchini,29,NSH,F,3,0,0,0,lucchja01"
"943,Jett Luchanko,18,PHI,F,4,0,0,0,luchaje01"
"944,Tristan Luneau,21,ANA,D,6,0,0,0,luneatr01"
"945,Alex Lyon,32,DET,G,30,0,0,0,lyonal01"
"946,Kurtis MacDermid,30,NJD,LW,23,0,0,0,macdeku01"
"947,Connor Mackey,28,NYR,D,2,0,0,0,mackeco01"
"948,James Malatesta,21,CBJ,LW,2,0,0,0,malatja01"
"949,Jacob Markström,35,NJD,G,49,0,0,0,marksja02"
"950,Spencer Martin,29,CAR,G,9,0,0,0,martisp01"
"951,Carter Mazur,22,DET,LW,1,0,0,0,mazurca01"
"952,Jaycob Megna,32,FLA,D,8,0,0,0,megnaja02"
"953,Jacob Melanson,21,SEA,RW,1,0,0,0,melanja01"
"954,Leevi Merilainen,22,OTT,G,12,0,0,0,merille01"
"955,Ben Meyers,26,SEA,F,8,0,0,0,meyerbe01"
"956,Sonny Milano,28,WSH,LW,3,0,0,0,milanso01"
"957,Michael Milne,22,MIN,LW,1,0,0,0,milnemi01"
"958,Trent Miner,23,COL,G,2,0,0,0,minertr01"
"959,Daniil Misyul,24,NJD,D,1,0,0,0,misyuda01"
"960,Mason Morelli,28,VEG,F,1,0,0,0,morelma01"
"961,Petr Mrázek,32,2TM,G,38,0,0,0,mrazepe01"
"961,Petr Mrázek,32,CHI,G,33,0,0,0,mrazepe01"
"961,Petr Mrázek,32,DET,G,5,0,0,0,mrazepe01"
"962,Ty Mueller,21,VAN,C,2,0,0,0,muellty01"
"963,Brett Murray,26,BUF,LW,3,0,0,0,murrabr02"
"964,Matt Murray,30,TOR,G,2,0,0,0,murrama02"
"965,Alexander Nylander,26,TOR,LW,5,0,0,0,nylanal01"
"966,Oskar Olausson,22,COL,RW,2,0,0,0,olausos01"
"967,Noah Ostlund,20,BUF,C,8,0,0,0,ostluno01"
"968,Victor Ostman,24,SEA,G,1,0,0,0,ostmavi01"
"969,Yaniv Perets,24,CAR,G,1,0,0,0,peretya01"
"970,Gabriel Perreault,19,NYR,RW,5,0,0,0,perrega01"
"971,Alexander Petrovic,32,DAL,D,5,0,0,0,petroal01"
"972,Michael Pezzetta,26,MTL,C,25,0,0,0,pezzemi01"
"973,Jason Polin,25,COL,F,2,0,0,0,polinja01"
"974,Vasiliy Ponomarev,22,PIT,C,7,0,0,0,ponomva01"
"975,Erik Portillo,24,LAK,G,1,0,0,0,portier01"
"976,Cayden Primeau,25,MTL,G,11,0,0,0,primeca01"
"977,Nikita Prishchepov,20,COL,C,10,0,0,0,prishni01"
"978,Jacob Quillan,22,TOR,F,1,0,0,0,quillja01"
"979,James Reimer,36,2TM,G,24,0,0,0,reimeja01"
"979,James Reimer,36,ANA,G,2,0,0,0,reimeja01"
"979,James Reimer,36,BUF,G,22,0,0,0,reimeja01"
"980,David Rittich,32,LAK,G,34,0,0,0,rittida01"
"981,Matthew Robertson,23,NYR,D,2,0,0,0,roberma02"
"982,Olivier Rodrigue,24,EDM,G,2,0,0,0,rodriol01"
"983,Georgi Romanov,25,SJS,G,8,0,0,0,romange01"
"984,Jonas Røndbjerg,25,VEG,RW,13,0,0,0,rondbjo01"
"985,Scott Sabourin,32,SJS,F,1,0,0,0,sabousc01"
"986,Steven Santini,29,TBL,D,1,0,0,0,santist01"
"987,Akira Schmid,24,VEG,G,5,0,0,0,schmiak01"
"988,Corey Schueneman,29,STL,D,4,0,0,0,schueco01"
"989,Jimmy Schuldt,29,SJS,D,8,0,0,0,schulja01"
"990,Donovan Sebrango,23,OTT,D,2,0,0,0,sebrado01"
"991,Conor Sheary,32,TBL,LW,5,0,0,0,shearco01"
"992,Hunter Shepard,29,WSH,G,1,0,0,0,shepahu01"
"993,Igor Shesterkin,29,NYR,G,61,0,0,0,shestig01"
"994,Owen Sillinger,27,CBJ,F,1,0,0,0,silliow01"
"995,Arturs Silovs,23,VAN,G,10,0,0,0,silovar01"
"996,Jakub Skarek,25,NYI,G,2,0,0,0,skareja01"
"997,Stuart Skinner,26,EDM,G,51,0,0,0,skinnst01"
"998,Givani Smith,26,2TM,RW,13,0,0,0,smithgi01"
"998,Givani Smith,26,SJS,RW,6,0,0,0,smithgi01"
"998,Givani Smith,26,COL,RW,7,0,0,0,smithgi01"
"999,Arvid Söderblom,25,CHI,G,36,0,0,0,soderar01"
"1000,Jaxson Stauber,25,UTA,G,6,0,0,0,staubja01"
"1001,Clay Stevenson,25,WSH,G,1,0,0,0,stevecl01"
"1002,Ales Stezka,28,SEA,G,1,0,0,0,stezkal01"
"1003,Matthew Stienburg,24,COL,C,8,0,0,0,stienma01"
"1004,Riley Stillman,26,CAR,D,5,0,0,0,stillri01"
"1005,Aydar Suniev,20,CGY,LW,1,0,0,0,sunieay01"
"1006,Ryan Suzuki,23,CAR,C,2,0,0,0,suzukry01"
"1007,Jeremy Swayman,26,BOS,G,58,0,0,0,swaymje01"
"1008,Mads Søgaard,24,OTT,G,2,0,0,0,sogaama01"
"1009,Cam Talbot,37,DET,G,47,0,0,0,talboca01"
"1010,Dustin Tokarski,35,CAR,G,6,0,0,0,tokardu01"
"1011,Nikita Tolopilo,24,VAN,G,2,0,0,0,tolopni01"
"1012,Dominic Toninato,30,WPG,C,5,0,0,0,tonindo01"
"1013,Riley Tufte,26,BOS,LW,6,0,0,0,tufteri01"
"1014,Ryan Ufko,21,NSH,D,1,0,0,0,ufkory01"
"1015,Semyon Varlamov,36,NYI,G,10,0,0,0,varlasi01"
"1016,Jeffrey Viel,28,BOS,F,5,0,0,0,vielje01"
"1017,Matt Villalta,25,UTA,G,1,0,0,0,villama01"
"1018,Jesper Wallstedt,22,MIN,G,2,0,0,0,wallsje01"
"1019,Tim Washe,23,ANA,F,2,0,0,0,washeti01"
"1020,Scott Wedgewood,32,2TM,G,24,0,0,0,wedgesc01"
"1020,Scott Wedgewood,32,NSH,G,5,0,0,0,wedgesc01"
"1020,Scott Wedgewood,32,COL,G,19,0,0,0,wedgesc01"
"1021,Colin White,28,SJS,C,3,0,0,0,whiteco02"
"1022,Jack Williams,,CBJ,F,1,0,0,0,willija02"
"1023,Joseph Woll,26,TOR,G,42,0,0,0,wolljo01"
",League Average,,,,,,,,-9999"


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Hockey-Reference.com</a>: <a href=""https://www.hockey-reference.com/leagues/NHL_2025_skaters.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#player_stats"">View Original Table</a><br>Generated 10/27/2025."